F,G,P
7.44732000000e01,1.00127657719e00,-2.32211663388e-03
7.55092000000e01,1.00125425915e00,-2.48650275171e-03
7.65597000000e01,1.00124069514e00,-3.82928014733e-03
7.76247000000e01,1.00126833788e00,-3.21259931661e-03
7.87046000000e01,1.00127854389e00,-3.12469177879e-03
7.97995000000e01,1.00127586871e00,-2.17884848826e-03
8.09096000000e01,1.00126207685e00,-1.74092839006e-03
8.20352000000e01,1.00126320568e00,-3.21826850995e-03
8.31764000000e01,1.00127451938e00,-1.87690241728e-03
8.43335000000e01,1.00126370529e00,-4.19577909634e-03
8.55067000000e01,1.00124548431e00,-3.69170797057e-04
8.66962000000e01,1.00122266891e00,-4.00039181113e-03
8.79023000000e01,1.00124384319e00,-4.29106969386e-03
8.91251000000e01,1.00124355431e00,-3.75803210773e-03
9.03649000000e01,1.00126889713e00,-4.84938453883e-03
9.16220000000e01,1.00125530606e00,-3.65080079064e-03
9.28966000000e01,1.00122197287e00,-3.25718359090e-03
9.41890000000e01,1.00127282476e00,-3.31621011719e-03
9.54993000000e01,1.00122838357e00,-3.94017668441e-03
9.68278000000e01,1.00125481252e00,-2.19506607391e-03
9.81748000000e01,1.00122662243e00,-4.33248328045e-03
9.95405000000e01,1.00123357860e00,-3.97938536480e-03
1.00925300000e02,1.00126176621e00,-3.01950238645e-03
1.02329300000e02,1.00127514606e00,-5.38566964678e-04
1.03752800000e02,1.00128167049e00,-3.43839125708e-03
1.05196200000e02,1.00128315888e00,-2.69901007414e-03
1.06659600000e02,1.00124052886e00,-3.79060255364e-03
1.08143400000e02,1.00125016551e00,-3.99182736874e-03
1.09647800000e02,1.00127431228e00,-1.96344242431e-03
1.11173200000e02,1.00125270943e00,-3.91144212335e-03
1.12719700000e02,1.00123348139e00,-1.62730470765e-03
1.14287800000e02,1.00124841601e00,-2.84363352694e-03
1.15877700000e02,1.00127239909e00,-2.74137337692e-03
1.17489800000e02,1.00124685886e00,-1.45178195089e-03
1.19124200000e02,1.00126705611e00,-2.60378909297e-03
1.20781400000e02,1.00124988837e00,-3.83755122311e-03
1.22461600000e02,1.00124620208e00,-2.81210383400e-03
1.24165200000e02,1.00125102594e00,-1.79319339804e-03
1.25892500000e02,1.00123766162e00,-2.02625477687e-03
1.27643900000e02,1.00124539149e00,-2.87768826820e-03
1.29419600000e02,1.00121413974e00,-2.46340199374e-03
1.31220000000e02,1.00121020121e00,-3.59195657074e-03
1.33045400000e02,1.00125630482e00,-3.77494539134e-03
1.34896300000e02,1.00123898476e00,-2.89435242303e-03
1.36772900000e02,1.00121188529e00,-3.15473019145e-03
1.38675600000e02,1.00126210990e00,-1.77456962410e-03
1.40604800000e02,1.00122872357e00,-2.77616898529e-03
1.42560800000e02,1.00119795670e00,-3.86766251177e-03
1.44544000000e02,1.00120913798e00,-3.39308660477e-03
1.46554800000e02,1.00122512396e00,-3.16229625605e-03
1.48593600000e02,1.00124022736e00,-2.33650417067e-03
1.50660700000e02,1.00123965838e00,-3.40311951004e-03
1.52756600000e02,1.00125207041e00,-2.43029114790e-03
1.54881700000e02,1.00122581368e00,-3.06129339151e-03
1.57036300000e02,1.00127395603e00,-2.82876729034e-03
1.59220900000e02,1.00122467218e00,-4.22515440732e-03
1.61435900000e02,1.00122842461e00,-2.08609155379e-03
1.63681700000e02,1.00125116994e00,-2.91474722326e-03
1.65958700000e02,1.00124606198e00,-3.63120273687e-03
1.68267400000e02,1.00125148551e00,-2.55920947529e-03
1.70608200000e02,1.00123312686e00,-2.60448222980e-03
1.72981600000e02,1.00122596069e00,-2.43167369626e-03
1.75388100000e02,1.00120448499e00,-3.02051054314e-03
1.77827900000e02,1.00122845959e00,-3.44616663642e-03
1.80301800000e02,1.00124936760e00,-3.92169179395e-03
1.82810000000e02,1.00123218911e00,-2.84242443740e-03
1.85353200000e02,1.00121932749e00,-2.76223709807e-03
1.87931700000e02,1.00122222234e00,-3.30940261483e-03
1.90546100000e02,1.00123441164e00,-3.86523362249e-03
1.93196800000e02,1.00126786247e00,-2.04208563082e-03
1.95884500000e02,1.00126116803e00,-3.88225843199e-03
1.98609500000e02,1.00125104778e00,-4.18810267001e-03
2.01372400000e02,1.00127433062e00,-3.98553162813e-03
2.04173800000e02,1.00126828178e00,-3.72112123296e-03
2.07014100000e02,1.00125852234e00,-2.64517217875e-03
2.09894000000e02,1.00126724941e00,-3.46284057014e-03
2.12813900000e02,1.00126974993e00,-2.51365662552e-03
2.15774400000e02,1.00124873169e00,-4.45868214592e-03
2.18776200000e02,1.00126528090e00,-3.23938671499e-03
2.21819600000e02,1.00125338599e00,-1.28565658815e-03
2.24905500000e02,1.00124936760e00,-2.81427893788e-03
2.28034200000e02,1.00127861718e00,-3.98927927017e-03
2.31206500000e02,1.00126390622e00,-2.00343271717e-03
2.34422900000e02,1.00128426102e00,-1.60501443315e-03
2.37684000000e02,1.00125098503e00,-3.07890959084e-03
2.40990500000e02,1.00125668572e00,-2.68822233193e-03
2.44343100000e02,1.00125659093e00,-3.27419326641e-03
2.47742200000e02,1.00126027077e00,-2.76265107095e-03
2.51188600000e02,1.00122044738e00,-2.66299769282e-03
2.54683000000e02,1.00123812154e00,-2.73711304180e-03
2.58226000000e02,1.00124076938e00,-1.22028100304e-03
2.61818300000e02,1.00124965809e00,-2.87873554043e-03
2.65460600000e02,1.00124543071e00,-2.65113264322e-03
2.69153500000e02,1.00123154095e00,-1.29736249801e-03
2.72897800000e02,1.00122690431e00,-1.34452013299e-03
2.76694200000e02,1.00121208388e00,-1.59153644927e-03
2.80543400000e02,1.00121753641e00,-2.44192988612e-03
2.84446100000e02,1.00120622122e00,-1.88640214037e-03
2.88403200000e02,1.00121044426e00,-1.52346992400e-03
2.92415200000e02,1.00120440502e00,-4.86173434183e-04
2.96483100000e02,1.00119335140e00,-1.04488374200e-03
3.00607600000e02,1.00116056664e00,-1.56626664102e-03
3.04789500000e02,1.00118234443e00,-6.55325420666e-04
3.09029500000e02,1.00118792687e00,3.57641780283e-04
3.13328600000e02,1.00115581365e00,-2.39476648858e-04
3.17687400000e02,1.00113325474e00,-1.32836910780e-04
3.22106900000e02,1.00117682141e00,-7.37248628866e-04
3.26587800000e02,1.00115505162e00,-1.28842750564e-03
3.31131100000e02,1.00117213182e00,-1.09117082320e-03
3.35737600000e02,1.00114866246e00,-1.25311594456e-03
3.40408200000e02,1.00113936786e00,-7.81812763307e-04
3.45143700000e02,1.00115675337e00,-1.02949340362e-03
3.49945200000e02,1.00114126028e00,-1.88940874068e-04
3.54813400000e02,1.00114978047e00,-1.94813794224e-04
3.59749300000e02,1.00115611155e00,-1.48491573054e-03
3.64753900000e02,1.00115415236e00,-9.97961498797e-04
3.69828200000e02,1.00116918104e00,-1.88686637557e-04
3.74973000000e02,1.00115609651e00,-1.69778557029e-03
3.80189400000e02,1.00113900718e00,7.37439549994e-04
3.85478400000e02,1.00113295207e00,3.31069095409e-05
3.90840900000e02,1.00114181513e00,-1.87532568816e-05
3.96278000000e02,1.00111662832e00,-4.15538961533e-04
4.01790800000e02,1.00113098327e00,8.52964119986e-04
4.07380300000e02,1.00112824735e00,3.88336455217e-04
4.13047500000e02,1.00113359872e00,-9.06539382413e-04
4.18793600000e02,1.00111393462e00,8.59660620335e-04
4.24619600000e02,1.00112858628e00,-4.76802699268e-04
4.30526600000e02,1.00113055165e00,-5.44672366232e-04
4.36515800000e02,1.00109080557e00,-1.41956191510e-03
4.42588400000e02,1.00109193102e00,-1.97479291819e-03
4.48745400000e02,1.00110712852e00,-3.14647884807e-04
4.54988100000e02,1.00111023226e00,9.92709188722e-04
4.61317600000e02,1.00111774004e00,2.35375482589e-04
4.67735100000e02,1.00109889422e00,5.16776111908e-04
4.74242000000e02,1.00109297194e00,-8.47216579132e-04
4.80839300000e02,1.00109166806e00,-2.26502583246e-04
4.87528500000e02,1.00111006909e00,-3.71501693735e-04
4.94310700000e02,1.00108833620e00,-7.25341087673e-04
5.01187200000e02,1.00109521787e00,-4.29907755461e-04
5.08159400000e02,1.00109798687e00,1.35733469506e-04
5.15228600000e02,1.00107414648e00,7.74651765823e-04
5.22396200000e02,1.00107039614e00,-9.35278600082e-04
5.29663400000e02,1.00109527162e00,-3.37629515457e-08
5.37031800000e02,1.00109536595e00,5.13964856509e-04
5.44502700000e02,1.00108516282e00,7.63542950153e-04
5.52077400000e02,1.00106286325e00,4.33687557233e-04
5.59757600000e02,1.00108903275e00,-1.04101770557e-03
5.67544600000e02,1.00106539496e00,-9.26440581679e-04
5.75439900000e02,1.00107552214e00,-8.70555639267e-04
5.83445100000e02,1.00108900266e00,-8.83099914063e-04
5.91561600000e02,1.00107986509e00,-1.99301866814e-03
5.99791100000e02,1.00106574963e00,5.06769865751e-04
